Date,Period,Attendance,StudentID,Name,GradeLevel,Teacher
10/23/2023,5,P,1036,Student 36,12,Teacher 4
10/23/2023,2,T,1037,Student 37,12,Teacher 5
10/23/2023,3,P,1037,Student 37,12,Teacher 4
10/23/2023,4,P,1037,Student 37,12,Teacher 2
10/23/2023,5,P,1037,Student 37,12,Teacher 1
10/23/2023,2,P,1038,Student 38,12,Teacher 1
10/23/2023,3,P,1038,Student 38,12,Teacher 2
10/23/2023,4,P,1038,Student 38,12,Teacher 3
10/23/2023,3,P,1039,Student 39,12,Teacher 1
10/23/2023,4,P,1039,Student 39,12,Teacher 2
10/23/2023,5,P,1039,Student 39,12,Teacher 4
10/23/2023,2,P,1040,Student 40,12,Teacher 2
10/23/2023,3,P,1040,Student 40,12,Teacher 4
10/23/2023,4,P,1040,Student 40,12,Teacher 5
10/23/2023,5,P,1040,Student 40,12,Teacher 1
10/23/2023,2,A,1041,Student 41,12,Teacher 2
10/23/2023,3,T,1041,Student 41,12,Teacher 6
10/23/2023,4,P,1041,Student 41,12,Teacher 1
10/23/2023,5,P,1041,Student 41,12,Teacher 4
10/23/2023,7,A,1041,Student 41,12,Teacher 1
10/23/2023,2,A,1042,Student 42,12,Teacher 2
10/23/2023,3,A,1042,Student 42,12,Teacher 4
10/23/2023,4,A,1042,Student 42,12,Teacher 1
10/23/2023,3,P,1043,Student 43,12,Teacher 1
10/23/2023,4,P,1043,Student 43,12,Teacher 2
10/23/2023,5,P,1043,Student 43,12,Teacher 4
10/23/2023,2,P,1044,Student 44,12,Teacher 2
10/23/2023,3,P,1044,Student 44,12,Teacher 4
10/23/2023,4,P,1044,Student 44,12,Teacher 1
10/23/2023,2,S,1045,Student 45,12,Teacher 2
10/23/2023,3,S,1045,Student 45,12,Teacher 6
10/23/2023,4,S,1045,Student 45,12,Teacher 5
10/23/2023,5,S,1045,Student 45,12,Teacher 4
10/23/2023,7,S,1045,Student 45,12,Teacher 1
10/23/2023,3,P,1046,Student 46,12,Teacher 1
10/23/2023,4,P,1046,Student 46,12,Teacher 2
10/23/2023,5,P,1046,Student 46,12,Teacher 4
10/23/2023,2,A,1047,Student 47,12,Teacher 1
10/23/2023,3,P,1047,Student 47,12,Teacher 5
10/23/2023,4,P,1047,Student 47,12,Teacher 2
10/23/2023,5,P,1047,Student 47,12,Teacher 4
10/23/2023,2,P,1048,Student 48,12,Teacher 2
10/23/2023,3,P,1048,Student 48,12,Teacher 4
10/23/2023,4,P,1048,Student 48,12,Teacher 1
10/23/2023,2,A,1049,Student 49,12,Teacher 2
10/23/2023,3,A,1049,Student 49,12,Teacher 4
10/23/2023,4,A,1049,Student 49,12,Teacher 1
10/23/2023,3,A,1050,Student 50,12,Teacher 1
10/23/2023,4,P,1050,Student 50,12,Teacher 2
10/23/2023,5,P,1050,Student 50,12,Teacher 4
10/23/2023,3,P,1051,Student 51,12,Teacher 1
10/23/2023,4,P,1051,Student 51,12,Teacher 2
10/23/2023,5,P,1051,Student 51,12,Teacher 4
10/23/2023,2,A,1052,Student 52,12,Teacher 2
10/23/2023,3,P,1052,Student 52,12,Teacher 4
10/23/2023,4,P,1052,Student 52,12,Teacher 1
10/23/2023,3,P,1053,Student 53,12,Teacher 1
10/23/2023,4,P,1053,Student 53,12,Teacher 2
10/23/2023,5,P,1053,Student 53,12,Teacher 4
10/23/2023,2,A,1054,Student 54,12,Teacher 2
10/23/2023,3,A,1054,Student 54,12,Teacher 4
10/23/2023,4,A,1054,Student 54,12,Teacher 1
10/23/2023,2,P,1055,Student 55,12,Teacher 2
10/23/2023,3,P,1055,Student 55,12,Teacher 4
10/23/2023,4,P,1055,Student 55,12,Teacher 1
10/23/2023,2,P,1056,Student 56,12,Teacher 1
10/23/2023,3,P,1056,Student 56,12,Teacher 2
10/23/2023,4,P,1056,Student 56,12,Teacher 3
10/23/2023,2,A,1057,Student 57,12,Teacher 2
10/23/2023,3,P,1057,Student 57,12,Teacher 4
10/23/2023,4,P,1057,Student 57,12,Teacher 1
10/23/2023,2,P,1058,Student 58,12,Teacher 1
10/23/2023,3,P,1058,Student 58,12,Teacher 2
10/23/2023,4,P,1058,Student 58,12,Teacher 3
10/23/2023,5,P,1058,Student 58,12,Teacher 9
10/23/2023,2,P,1059,Student 59,12,Teacher 5
10/23/2023,3,P,1059,Student 59,12,Teacher 2
10/23/2023,4,P,1059,Student 59,12,Teacher 3
10/23/2023,5,P,1059,Student 59,12,Teacher 1
10/23/2023,2,P,1060,Student 60,12,Teacher 1
10/23/2023,3,P,1060,Student 60,12,Teacher 5
10/23/2023,4,P,1060,Student 60,12,Teacher 2
10/23/2023,5,P,1060,Student 60,12,Teacher 4
10/23/2023,2,A,1061,Student 61,12,Teacher 2
10/23/2023,3,P,1061,Student 61,12,Teacher 4
10/23/2023,4,P,1061,Student 61,12,Teacher 5
10/23/2023,5,P,1061,Student 61,12,Teacher 1
10/23/2023,3,P,1062,Student 62,12,Teacher 1
10/23/2023,4,P,1062,Student 62,12,Teacher 2
10/23/2023,5,P,1062,Student 62,12,Teacher 4
10/23/2023,2,P,1063,Student 63,12,Teacher 1
10/23/2023,3,P,1063,Student 63,12,Teacher 2
10/23/2023,4,P,1063,Student 63,12,Teacher 3
10/23/2023,2,P,1064,Student 64,12,Teacher 2
10/23/2023,3,P,1064,Student 64,12,Teacher 4
10/23/2023,4,P,1064,Student 64,12,Teacher 1
10/23/2023,2,P,1065,Student 65,12,Teacher 1
10/23/2023,3,P,1065,Student 65,12,Teacher 2
10/23/2023,4,P,1065,Student 65,12,Teacher 3
10/23/2023,2,P,1066,Student 66,12,Teacher 2
10/23/2023,3,P,1066,Student 66,12,Teacher 5
10/23/2023,4,P,1066,Student 66,12,Teacher 1
10/23/2023,5,P,1066,Student 66,12,Teacher 4
10/23/2023,2,A,1067,Student 67,12,Teacher 10
10/23/2023,3,A,1067,Student 67,12,Teacher 1
10/23/2023,4,P,1067,Student 67,12,Teacher 2
10/23/2023,2,A,1068,Student 68,12,Teacher 2
10/23/2023,3,A,1068,Student 68,12,Teacher 4
10/23/2023,4,A,1068,Student 68,12,Teacher 1
10/23/2023,2,P,1069,Student 69,12,Teacher 2
10/23/2023,3,P,1069,Student 69,12,Teacher 4
10/23/2023,4,P,1069,Student 69,12,Teacher 1
10/23/2023,2,P,1070,Student 70,12,Teacher 1
10/23/2023,3,P,1070,Student 70,12,Teacher 2
10/23/2023,4,P,1070,Student 70,12,Teacher 3
10/23/2023,2,T,1071,Student 71,12,Teacher 5
10/23/2023,3,P,1071,Student 71,12,Teacher 2
10/23/2023,4,P,1071,Student 71,12,Teacher 3
10/23/2023,5,P,1071,Student 71,12,Teacher 1
10/23/2023,2,A,1072,Student 72,12,Teacher 2
10/23/2023,3,P,1072,Student 72,12,Teacher 4
10/23/2023,4,P,1072,Student 72,12,Teacher 1
10/23/2023,2,P,1073,Student 73,12,Teacher 1
10/23/2023,3,P,1073,Student 73,12,Teacher 5
10/23/2023,4,P,1073,Student 73,12,Teacher 2
10/23/2023,5,P,1073,Student 73,12,Teacher 4
10/23/2023,2,A,1074,Student 74,12,Teacher 5
10/23/2023,3,A,1074,Student 74,12,Teacher 2
10/23/2023,4,A,1074,Student 74,12,Teacher 3
10/23/2023,5,A,1074,Student 74,12,Teacher 1
10/23/2023,8,A,1074,Student 74,12,Teacher 11
10/23/2023,3,P,1075,Student 75,12,Teacher 1
10/23/2023,4,P,1075,Student 75,12,Teacher 2
10/23/2023,5,P,1075,Student 75,12,Teacher 4
10/23/2023,2,A,1076,Student 76,12,Teacher 2
10/23/2023,3,A,1076,Student 76,12,Teacher 4
10/23/2023,4,A,1076,Student 76,12,Teacher 1
10/23/2023,2,P,1077,Student 77,12,Teacher 1
10/23/2023,3,P,1077,Student 77,12,Teacher 2
10/23/2023,4,P,1077,Student 77,12,Teacher 3
10/23/2023,2,A,1078,Student 78,12,Teacher 2
10/23/2023,3,A,1078,Student 78,12,Teacher 4
10/23/2023,4,A,1078,Student 78,12,Teacher 12
10/23/2023,5,A,1078,Student 78,12,Teacher 1
10/23/2023,7,A,1078,Student 78,12,Teacher 1
10/23/2023,3,A,1079,Student 79,12,Teacher 1
10/23/2023,4,A,1079,Student 79,12,Teacher 2
10/23/2023,5,P,1079,Student 79,12,Teacher 4
10/23/2023,2,P,1080,Student 80,12,Teacher 1
10/23/2023,3,P,1080,Student 80,12,Teacher 2
10/23/2023,4,P,1080,Student 80,12,Teacher 3
10/23/2023,3,P,1081,Student 81,12,Teacher 1
10/23/2023,4,P,1081,Student 81,12,Teacher 2
10/23/2023,5,P,1081,Student 81,12,Teacher 4
10/23/2023,3,A,1082,Student 82,12,Teacher 1
10/23/2023,4,A,1082,Student 82,12,Teacher 2
10/23/2023,5,A,1082,Student 82,12,Teacher 4
10/23/2023,2,A,1083,Student 83,12,Teacher 1
10/23/2023,3,A,1083,Student 83,12,Teacher 1
10/23/2023,4,A,1083,Student 83,12,Teacher 2
10/23/2023,5,A,1083,Student 83,12,Teacher 4
10/23/2023,7,A,1083,Student 83,12,Teacher 12
10/23/2023,2,T,1084,Student 84,11,Teacher 11
10/23/2023,3,P,1084,Student 84,11,Teacher 8
10/23/2023,4,P,1084,Student 84,11,Teacher 13
10/23/2023,5,P,1084,Student 84,11,Teacher 1
10/23/2023,7,P,1084,Student 84,11,Teacher 6
10/23/2023,9,P,1084,Student 84,11,Teacher 14
10/23/2023,2,A,1085,Student 85,11,Teacher 15
10/23/2023,3,A,1085,Student 85,11,Teacher 13
10/23/2023,4,A,1085,Student 85,11,Teacher 6
10/23/2023,5,A,1085,Student 85,11,Teacher 16
10/23/2023,7,A,1085,Student 85,11,Teacher 13
10/23/2023,8,A,1085,Student 85,11,Teacher 6
10/23/2023,9,A,1085,Student 85,11,Teacher 8
10/23/2023,2,P,1086,Student 86,11,Teacher 1
10/23/2023,3,P,1086,Student 86,11,Teacher 6
10/23/2023,4,P,1086,Student 86,11,Teacher 16
10/23/2023,5,P,1086,Student 86,11,Teacher 17
10/23/2023,7,P,1086,Student 86,11,Teacher 9
10/23/2023,8,P,1086,Student 86,11,Teacher 16
10/23/2023,9,P,1086,Student 86,11,Teacher 13
10/23/2023,2,A,1087,Student 87,11,Teacher 1
10/23/2023,3,A,1087,Student 87,11,Teacher 6
10/23/2023,4,A,1087,Student 87,11,Teacher 16
10/23/2023,5,A,1087,Student 87,11,Teacher 17
10/23/2023,7,A,1087,Student 87,11,Teacher 9
10/23/2023,8,A,1087,Student 87,11,Teacher 16
10/23/2023,9,A,1087,Student 87,11,Teacher 13
10/23/2023,2,A,1088,Student 88,11,Teacher 15
10/23/2023,3,A,1088,Student 88,11,Teacher 13
10/23/2023,4,A,1088,Student 88,11,Teacher 6
10/23/2023,5,A,1088,Student 88,11,Teacher 16
10/23/2023,7,A,1088,Student 88,11,Teacher 13
10/23/2023,8,A,1088,Student 88,11,Teacher 6
10/23/2023,9,A,1088,Student 88,11,Teacher 17
10/23/2023,2,A,1089,Student 89,11,Teacher 17
10/23/2023,3,P,1089,Student 89,11,Teacher 6
10/23/2023,4,P,1089,Student 89,11,Teacher 16
10/23/2023,5,P,1089,Student 89,11,Teacher 9
10/23/2023,7,A,1089,Student 89,11,Teacher 1
10/23/2023,8,P,1089,Student 89,11,Teacher 16
10/23/2023,9,P,1089,Student 89,11,Teacher 13
10/23/2023,2,A,1090,Student 90,11,Teacher 15
10/23/2023,3,A,1090,Student 90,11,Teacher 13
10/23/2023,4,A,1090,Student 90,11,Teacher 6
10/23/2023,5,A,1090,Student 90,11,Teacher 16
10/23/2023,7,A,1090,Student 90,11,Teacher 13
10/23/2023,8,A,1090,Student 90,11,Teacher 6
10/23/2023,9,A,1090,Student 90,11,Teacher 17
10/23/2023,2,A,1091,Student 91,11,Teacher 17
10/23/2023,3,A,1091,Student 91,11,Teacher 16
10/23/2023,4,A,1091,Student 91,11,Teacher 9
10/23/2023,5,A,1091,Student 91,11,Teacher 1
10/23/2023,7,A,1091,Student 91,11,Teacher 16
10/23/2023,8,A,1091,Student 91,11,Teacher 13
10/23/2023,9,A,1091,Student 91,11,Teacher 6
10/23/2023,1,P,1092,Student 92,11,Teacher 12
10/23/2023,2,T,1092,Student 92,11,Teacher 15
10/23/2023,3,P,1092,Student 92,11,Teacher 13
10/23/2023,4,P,1092,Student 92,11,Teacher 6
10/23/2023,5,P,1092,Student 92,11,Teacher 16
10/23/2023,7,P,1092,Student 92,11,Teacher 13
10/23/2023,8,P,1092,Student 92,11,Teacher 6
10/23/2023,9,P,1092,Student 92,11,Teacher 8
10/23/2023,2,P,1093,Student 93,11,Teacher 11
10/23/2023,3,P,1093,Student 93,11,Teacher 8
10/23/2023,4,P,1093,Student 93,11,Teacher 13
10/23/2023,5,P,1093,Student 93,11,Teacher 1
10/23/2023,7,P,1093,Student 93,11,Teacher 6
10/23/2023,8,O,1093,Student 93,11,Teacher 17
10/23/2023,9,P,1093,Student 93,11,Teacher 14
10/23/2023,2,P,1094,Student 94,11,Teacher 15
10/23/2023,3,P,1094,Student 94,11,Teacher 13
10/23/2023,4,P,1094,Student 94,11,Teacher 6
10/23/2023,5,P,1094,Student 94,11,Teacher 16
10/23/2023,7,P,1094,Student 94,11,Teacher 13
10/23/2023,8,P,1094,Student 94,11,Teacher 6
10/23/2023,9,P,1094,Student 94,11,Teacher 8
10/23/2023,2,P,1095,Student 95,11,Teacher 18
10/23/2023,3,P,1095,Student 95,11,Teacher 6
10/23/2023,4,P,1095,Student 95,11,Teacher 16
10/23/2023,5,P,1095,Student 95,11,Teacher 17
10/23/2023,7,P,1095,Student 95,11,Teacher 1
10/23/2023,8,P,1095,Student 95,11,Teacher 16
10/23/2023,9,P,1095,Student 95,11,Teacher 13
10/23/2023,3,P,1096,Student 96,11,Teacher 16
10/23/2023,4,P,1096,Student 96,11,Teacher 1
10/23/2023,5,P,1096,Student 96,11,Teacher 9
10/23/2023,7,P,1096,Student 96,11,Teacher 16
10/23/2023,8,P,1096,Student 96,11,Teacher 13
10/23/2023,9,P,1096,Student 96,11,Teacher 6
10/23/2023,2,P,1097,Student 97,11,Teacher 17
10/23/2023,3,P,1097,Student 97,11,Teacher 16
10/23/2023,4,P,1097,Student 97,11,Teacher 1
10/23/2023,5,P,1097,Student 97,11,Teacher 9
10/23/2023,7,P,1097,Student 97,11,Teacher 16
10/23/2023,8,P,1097,Student 97,11,Teacher 13
10/23/2023,9,P,1097,Student 97,11,Teacher 6
10/23/2023,2,P,1098,Student 98,11,Teacher 11
10/23/2023,3,P,1098,Student 98,11,Teacher 8
10/23/2023,4,P,1098,Student 98,11,Teacher 13
10/23/2023,5,P,1098,Student 98,11,Teacher 1
10/23/2023,7,P,1098,Student 98,11,Teacher 6
10/23/2023,8,P,1098,Student 98,11,Teacher 17
10/23/2023,9,P,1098,Student 98,11,Teacher 14
10/23/2023,3,P,1099,Student 99,11,Teacher 6
10/23/2023,4,P,1099,Student 99,11,Teacher 16
10/23/2023,5,P,1099,Student 99,11,Teacher 9
10/23/2023,7,A,1099,Student 99,11,Teacher 1
10/23/2023,8,P,1099,Student 99,11,Teacher 16
10/23/2023,9,P,1099,Student 99,11,Teacher 13
10/23/2023,2,T,1100,Student 100,11,Teacher 11
10/23/2023,3,P,1100,Student 100,11,Teacher 8
10/23/2023,4,P,1100,Student 100,11,Teacher 13
10/23/2023,5,P,1100,Student 100,11,Teacher 1
10/23/2023,7,P,1100,Student 100,11,Teacher 6
10/23/2023,8,P,1100,Student 100,11,Teacher 17
10/23/2023,9,P,1100,Student 100,11,Teacher 14
10/23/2023,2,A,1101,Student 101,11,Teacher 17
10/23/2023,3,A,1101,Student 101,11,Teacher 16
10/23/2023,4,A,1101,Student 101,11,Teacher 9
10/23/2023,5,A,1101,Student 101,11,Teacher 1
10/23/2023,7,A,1101,Student 101,11,Teacher 16
10/23/2023,8,A,1101,Student 101,11,Teacher 13
10/23/2023,9,A,1101,Student 101,11,Teacher 6
10/23/2023,2,P,1102,Student 102,11,Teacher 18
10/23/2023,3,P,1102,Student 102,11,Teacher 6
10/23/2023,4,P,1102,Student 102,11,Teacher 16
10/23/2023,5,P,1102,Student 102,11,Teacher 17
10/23/2023,7,P,1102,Student 102,11,Teacher 1
10/23/2023,8,P,1102,Student 102,11,Teacher 16
10/23/2023,9,P,1102,Student 102,11,Teacher 13
10/23/2023,2,A,1103,Student 103,11,Teacher 1
10/23/2023,3,A,1103,Student 103,11,Teacher 16
10/23/2023,4,A,1103,Student 103,11,Teacher 9
10/23/2023,5,A,1103,Student 103,11,Teacher 8
10/23/2023,7,A,1103,Student 103,11,Teacher 16
10/23/2023,8,A,1103,Student 103,11,Teacher 13
10/23/2023,9,A,1103,Student 103,11,Teacher 6
10/23/2023,3,P,1104,Student 104,11,Teacher 16
10/23/2023,4,P,1104,Student 104,11,Teacher 1
10/23/2023,5,P,1104,Student 104,11,Teacher 9
10/23/2023,7,P,1104,Student 104,11,Teacher 16
10/23/2023,8,P,1104,Student 104,11,Teacher 13
10/23/2023,9,P,1104,Student 104,11,Teacher 6
10/23/2023,2,P,1105,Student 105,11,Teacher 15
10/23/2023,3,P,1105,Student 105,11,Teacher 13
10/23/2023,4,P,1105,Student 105,11,Teacher 6
10/23/2023,5,P,1105,Student 105,11,Teacher 16
10/23/2023,7,P,1105,Student 105,11,Teacher 13
10/23/2023,8,P,1105,Student 105,11,Teacher 6
10/23/2023,9,P,1105,Student 105,11,Teacher 8
10/23/2023,2,A,1106,Student 106,11,Teacher 15
10/23/2023,3,A,1106,Student 106,11,Teacher 13
10/23/2023,4,A,1106,Student 106,11,Teacher 6
10/23/2023,5,A,1106,Student 106,11,Teacher 16
10/23/2023,7,A,1106,Student 106,11,Teacher 13
10/23/2023,8,A,1106,Student 106,11,Teacher 6
10/23/2023,9,A,1106,Student 106,11,Teacher 8
10/23/2023,2,P,1107,Student 107,11,Teacher 15
10/23/2023,3,P,1107,Student 107,11,Teacher 13
10/23/2023,4,P,1107,Student 107,11,Teacher 6
10/23/2023,5,P,1107,Student 107,11,Teacher 16
10/23/2023,7,P,1107,Student 107,11,Teacher 13
10/23/2023,8,P,1107,Student 107,11,Teacher 6
10/23/2023,9,P,1107,Student 107,11,Teacher 17
10/23/2023,2,P,1108,Student 108,11,Teacher 18
10/23/2023,3,P,1108,Student 108,11,Teacher 8
10/23/2023,4,P,1108,Student 108,11,Teacher 13
10/23/2023,5,P,1108,Student 108,11,Teacher 1
10/23/2023,7,P,1108,Student 108,11,Teacher 6
10/23/2023,9,P,1108,Student 108,11,Teacher 14
10/23/2023,2,A,1109,Student 109,11,Teacher 1
10/23/2023,3,A,1109,Student 109,11,Teacher 6
10/23/2023,4,A,1109,Student 109,11,Teacher 16
10/23/2023,5,A,1109,Student 109,11,Teacher 17
10/23/2023,7,A,1109,Student 109,11,Teacher 9
10/23/2023,8,A,1109,Student 109,11,Teacher 16
10/23/2023,9,A,1109,Student 109,11,Teacher 13
10/23/2023,2,P,1110,Student 110,11,Teacher 11
10/23/2023,3,P,1110,Student 110,11,Teacher 8
10/23/2023,4,P,1110,Student 110,11,Teacher 13
10/23/2023,5,P,1110,Student 110,11,Teacher 1
10/23/2023,7,P,1110,Student 110,11,Teacher 6
10/23/2023,8,P,1110,Student 110,11,Teacher 17
10/23/2023,9,P,1110,Student 110,11,Teacher 14
10/23/2023,2,A,1111,Student 111,11,Teacher 15
10/23/2023,3,P,1111,Student 111,11,Teacher 6
10/23/2023,4,P,1111,Student 111,11,Teacher 16
10/23/2023,5,P,1111,Student 111,11,Teacher 17
10/23/2023,7,P,1111,Student 111,11,Teacher 9
10/23/2023,8,P,1111,Student 111,11,Teacher 16
10/23/2023,9,P,1111,Student 111,11,Teacher 13
10/23/2023,2,P,1112,Student 112,11,Teacher 17
10/23/2023,3,P,1112,Student 112,11,Teacher 16
10/23/2023,4,P,1112,Student 112,11,Teacher 1
10/23/2023,5,P,1112,Student 112,11,Teacher 9
10/23/2023,7,P,1112,Student 112,11,Teacher 16
10/23/2023,8,P,1112,Student 112,11,Teacher 13
10/23/2023,9,P,1112,Student 112,11,Teacher 6
10/23/2023,2,P,1113,Student 113,11,Teacher 11
10/23/2023,3,P,1113,Student 113,11,Teacher 8
10/23/2023,4,P,1113,Student 113,11,Teacher 13
10/23/2023,5,P,1113,Student 113,11,Teacher 1
10/23/2023,7,P,1113,Student 113,11,Teacher 6
10/23/2023,9,P,1113,Student 113,11,Teacher 14
10/23/2023,2,P,1114,Student 114,11,Teacher 11
10/23/2023,3,P,1114,Student 114,11,Teacher 8
10/23/2023,4,P,1114,Student 114,11,Teacher 13
10/23/2023,5,P,1114,Student 114,11,Teacher 1
10/23/2023,7,P,1114,Student 114,11,Teacher 6
10/23/2023,8,P,1114,Student 114,11,Teacher 17
10/23/2023,9,P,1114,Student 114,11,Teacher 14
10/23/2023,3,P,1115,Student 115,11,Teacher 16
10/23/2023,4,P,1115,Student 115,11,Teacher 9
10/23/2023,5,P,1115,Student 115,11,Teacher 1
10/23/2023,7,P,1115,Student 115,11,Teacher 16
10/23/2023,8,P,1115,Student 115,11,Teacher 13
10/23/2023,9,P,1115,Student 115,11,Teacher 6
